prix,ville,departement,surface,pieces,latitude,longitude,source,url
232000,Courcelles-Sur-Seine (près Heudebouville),27,128,5,49.18516,1.39629,PAP,https://www.pap.fr/annonces/maison-courcelles-sur-seine-r464101804
329500,Port-Mort (près Heudebouville),27,100,5,49.16571,1.4128,PAP,https://www.pap.fr/annonces/maison-port-mort-27940-r464501415
745000,Vernon (près Heudebouville),27,230,10,49.09027,1.49811,PAP,https://www.pap.fr/annonces/maison-vernon-27200-r463102835
239000,Berville,95,100,5,49.19787,2.0622,PAP,https://www.pap.fr/annonces/maison-berville-r459600923
340000,Bréançon (près Berville),95,88,5,49.15459,2.01468,PAP,https://www.pap.fr/annonces/maison-breancon-95640-r463502744
515000,Esches (près Berville),60,248,9,49.24432,2.18011,PAP,https://www.pap.fr/annonces/maison-esches-60110-r464302059
289000,Esches (près Berville),60,110,5,49.24355,2.14443,PAP,https://www.pap.fr/annonces/maison-esches-60110-r462900053
1250000,Marines (près Berville),95,255,6,49.16941,1.96762,PAP,https://www.pap.fr/annonces/maison-marines-95640-r464002586
405000,Pouilly (près Berville),60,120,5,49.28617,2.05544,PAP,https://www.pap.fr/annonces/maison-pouilly-60790-r463102531
599000,Tourly (près Berville),60,161,6,49.22272,1.9611,PAP,https://www.pap.fr/annonces/maison-tourly-60240-r464202089
195000,Nesles-La-Vallée (près Berville),95,49,3,49.14306,2.1726,PAP,https://www.pap.fr/annonces/maison-nesles-la-vallee-95690-r463402036
470000,Nesles-La-Vallée (près Berville),95,100,4,49.14321,2.16588,PAP,https://www.pap.fr/annonces/maison-nesles-la-vallee-95690-r464202943
555000,"Hérouville (près Berville, Vexin)",95,190,6,49.10618,2.11793,PAP,https://www.pap.fr/annonces/maison-herouville-r463303383
